Term,Value
making,0.005
brittain,0.004
heart,0.006
crazy,0.004
trump,0.004
downfall,0.001
fuck,0.001
po_st,0.001
council,0.001
allowed,0.002
48percentplus,0.002
referendum,0.001
harking,0.005
divided,0.001
interestingthe,0.002
exitidiots,0.004
write,0.004
vital,0.001
fourth,0.002
swore,0.007
dominance,0.002
economy,0.005
147,0.004
may,0.006
sacrifice,0.002
campaigner,0.001
fascism,0.004
4th,0.001
date,0.002
guys,0.003
man,0.002
tories,0.005
natural,0.001
remember,0.006
johnson,0.004
maybe,0.013
futures,0.003
misogynists,0.004
st,0.002
si,0.007
4a74g,0.001
nonny,0.005
exclusive,0.004
sciencedirect,0.002
indeed,0.008
mainly,0.006
unacceptable,0.008
years,0.005
course,0.012
still,0.024
richardbranson,0.001
cola,0.002
group,0.003
monitor,0.002
wallace,0.004
interesting,0.002
inferior,0.002
trumpocalypse,0.005
rezolvat,0.004
saxon,0.004
policy,0.002
deviantart,0.001
tory,0.006
limbo,0.004
happened,0.005
within,0.001
bodleianlibs,0.006
views,0.001
nog,0.002
nation,0.005
records,0.002
conquer,0.003
aspirations,0.001
nov,0.002
now,0.011
engisl,0.006
blackadder,0.004
2gps7sf,0.001
didn,0.003
invents,0.005
debating,0.001
peasant,0.004
en,0.005
revised,0.001
yeah,0.002
goose,0.015
xxok2,0.002
entering,0.002
year,0.005
eu,0.004
happen,0.004
historicmistake,0.002
tried,0.002
living,0.003
opened,0.004
3rd,0.002
coincidentally,0.002
brexitornot,0.004
seriously,0.003
dutch,0.001
correct,0.001
unifying,0.002
744109418904584192,0.002
goth,0.002
cymroalba,0.004
martinbelam,0.002
siege,0.001
sheffield,0.015
romani,0.002
million,0.019
isotope,0.001
quite,0.001
romans,0.013
org,0.004
marine,0.003
advance,0.004
homily,0.001
sandrakellygirl,0.002
couldn,0.002
yup,0.001
transition,0.002
tries,0.001
british,0.024
turn,0.003
lindsey,0.002
place,0.006
tillywrites,0.001
think,0.004
1000,0.001
623,0.001
coming,0.001
one,0.004
fast,0.001
directly,0.001
vote,0.005
corporations,0.002
message,0.005
open,0.005
tomorrow,0.005
iam,0.002
city,0.001
given,0.005
mysteriously,0.002
anyone,0.004
2,0.012
uli_speck,0.001
white,0.004
speaking,0.003
eyes,0.001
floppy,0.001
moscow,0.004
cornwall,0.002
reclaims,0.002
ridiculous,0.005
copy,0.002
11,0.006
cologne,0.004
12,0.003
meteors,0.002
14,0.003
17,0.004
19,0.001
serf,0.004
future,0.004
outcome,0.013
venturo,0.004
russia,0.001
globalwarming,0.001
pre,0.021
gathering,0.005
pro,0.001
turned,0.002
argument,0.001
sad,0.004
say,0.001
rees,0.003
eu_commission,0.001
abnormalities,0.005
brexiter,0.001
cavemen,0.005
warriors,0.004
aside,0.003
terrific,0.005
potential,0.002
take,0.01
gobshite,0.005
destroy,0.001
wonder,0.003
ericsfraga,0.005
bitching,0.005
ironically,0.002
sure,0.004
norman,0.004
buffer,0.006
knew,0.005
thersc,0.001
falls,0.001
invoked,0.002
writerlywitterings,0.003
astrologers,0.005
pages,0.001
later,0.002
implications,0.001
order,0.001
jwils60,0.001
foetal,0.005
swordfighting,0.003
show,0.002
german,0.004
o4a,0.002
disunity,0.002
recipe,0.006
bright,0.005
ivanhoe,0.004
imagined,0.006
callydonianboar,0.002
written,0.002
expositional,0.002
going,0.004
believing,0.002
watching,0.001
first,0.005
sage_opinion,0.002
get,0.004
merkel,0.006
honours,0.004
awaiting,0.005
brit,0.002
prime,0.003
morning,0.003
paper,0.002
losers,0.001
themuslimissue,0.006
discussing,0.013
worrying,0.002
husband,0.002
wiki,0.004
refugees,0.001
connections,0.028
declares,0.002
explosive,0.002
sport,0.001
europeans,0.004
squandering,0.002
hadrian,0.002
compounds,0.004
exitfuckwit,0.004
hist,0.001
behind,0.005
un,0.005
mandarin,0.002
across,0.002
jobs,0.005
crucified,0.003
killing,0.005
blame,0.002
jo,0.003
comeback,0.004
byqucq1ty2i,0.001
come,0.005
recall,0.002
quack,0.005
reaction,0.001
many,0.005
according,0.004
circuses,0.001
loitravail,0.004
s,0.01
sacked,0.002
comes,0.002
among,0.005
key,0.001
pot,0.014
period,0.001
anti,0.005
intelligentsia,0.005
article,0.004
28sd7wu,0.006
nicola,0.002
poll,0.005
turkey,0.005
better,0.005
west,0.004
rebuild,0.002
dictator,0.001
postprexit,0.036
eurefresults,0.002
borders,0.005
503,0.002
wants,0.012
mckinnon,0.004
disolves,0.001
thousand,0.002
mgspeech194version2,0.002
theguardian,0.005
0h_n0,0.005
minister,0.005
400ad,0.001
lolthis,0.001
sleazebag,0.004
former,0.002
case,0.001
hughes,0.002
prehistoric,0.012
developing,0.002
25pmgur,0.002
single,0.001
scarily,0.001
trick,0.001
cast,0.004
celts,0.013
proves,0.001
editorial,0.002
taking,0.005
heraldtribune,0.005
