Term,Value
britannia,33.363
etc,0.072
two,16.29
comparing,35.616
ivanthek,21.312
taken,15.936
hegemony,6.237
flat,10.452
israel,5.427
door,8.991
knows,5.215
6303665,7.673
lavinruf,15.939
basically,17.007
broke,7.471
known,12.159
portended,8.64
glad,6.6
keeping,6.24
anxieties,0.616
science,14.872
nina,34.569
remain,35.469
sudden,13.607
v,2.16
history,82.403
fundamentalist,9.711
dislikes,1.344
nightingalern,4.464
contradicts,15.444
libertarian,8.729
dress,5.976
longest,6.186
rather,0.45
breaking,7.593
civilisation,23.85
ft,0.615
plans,17.7
emulate,0.224
advice,4.851
reflect,1.383
tries,7.68
coming,4.242
inconceivable,6.552
mtpennycook,78.0
short,4.851
tweeting,0.858
children,0.142
daggers,2.16
scaring,6.237
media,0.077
dream,3.257
help,2.942
september,0.142
ite,18.837
trade,20.505
paper,9.471
defiant,2.29
borisjohnson,11.166
roots,2.769
islam,15.309
25,1.874
style,1.445
spiegel_politik,0.063
unity,2.976
actually,17.367
late,12.835
tesco_north,15.6
radical,0.3
might,24.882
ally,0.871
wouldn,1.706
good,37.131
return,24.297
food,33.0
geopolitical,5.108
bigger,68.931
easily,18.311
always,14.507
wmarybeard,89.473
truths,34.5
stopped,3.003
turns,8.1
ivoteleave,5.751
everyone,6.878
england,96.693
mental,1.809
weight,14.176
hard,0.902
reduce,1.516
idea,12.813
junkscience,8.964
4293818,1.431
slave,1.917
really,5.841
allectus,22.538
since,39.274
adhere,3.257
trump2016,22.125
belief,20.774
rothschilds,17.472
members,1.809
imagine,3.984
ask,17.7
rises,2.16
beginning,41.08
outdo,8.991
benefits,0.143
revival,35.046
reinforces,11.859
rog_ukip,1.155
american,0.415
wither,17.694
beggars,17.472
syria,5.427
castle,13.506
fallen,3.216
jollyjack,16.274
uncontrolled,1.917
major,1.297
feel,8.316
relate,13.2
loveofmoney,2.832
instances,1.792
fearmongering,4.851
done,42.57
lhtkrn,10.164
guess,1.066
heads,11.715
leading,14.784
5th,18.862
flimsy,6.633
identity,2.769
storm,0.15
hundred,14.771
gregdjerejian,14.4
part,10.719
share_iosapp_other,1.553
believe,14.421
obama,1.82
king,6.491
kind,1.742
savagery,7.2
youtu,11.228
nevertheless,0.57
determined,7.2
toward,5.976
risky,22.901
ages,60.437
built,1.462
self,1.047
scotland,46.641
reliance,1.917
also,43.314
caesar,1.511
build,39.0
donor,28.8
buff,42.263
province,32.043
quote,17.169
75,4.824
70,2.997
nothing,9.137
namechecks,1.026
clear,3.983
treasurer,8.922
endtimes,16.302
donkeys,8.828
realised,1.365
joining,1.371
voteremain,5.427
gold,46.432
nigel_farage,3.9
laodiceanreport,9.99
find,5.751
impact,20.889
current,1.365
210,0.224
northern,13.648
hope,0.546
assertion,11.859
penalty,19.2
failed,5.328
pretty,41.836
8,7.47
gills,4.824
dominant,13.695
