Number,Tweet
3425,*Hilary Benn just destroyed Allison's barbaric Brexit tweet during the Paris attacks.
3424,"*Coming to Europe soon thanks to Herr Merkel & her EU policies,,,  stop these barbaric animals #brexit """
689,*@wordsonlife Shame on you Brexit.  Why don't you condone this brutal barbaric treatment of animals in China? Money issues. Too tight there?
688,*Globalism Is A Barbaric Relic #geopolitics #trump #NWO #IMF #Brexit http://www.alt-market.com/articles/2993-globalism-is-a-barbaric-relic-voluntary-tribalism-is-the-future …
685,*Persecution of Br Muslims by barbaric section of British society on the increase. @BorisJohnson. #BorisJohnson #Boris Johnson #Brexit
684,*@LeaveEUOfficial @theresa_may Brexit Britain's new identity: http://www.bbc.co.uk/news/uk-england-beds-bucks-herts-37352942 … Will PM May condemn this barbaric attacks?
687,"*#BRexit for sure, barbaric @EU_Commission <<<"""
686,*Excellent article ! 
681,*WHY?!  We voted to end this barbaric practise - they can vote twice on a hunting ban but not Brexit? @LBC @HuntSabs
680,"*@shushitssusan so rude, barbaric, uncivilised. Compare with barbarism unleashed here by Brexit votes. The idiots are winning. @StigAbell"""
683,*Brexit consequences get worse giving more influence to oppressive & barbaric Saudi regime @NetizenUK @Expansionlink 
682,*@PaveDarker brexit is bad for EU and UK. These EU refugees need to be reformed from their savage&barbaric ways of living.
